,token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
74,13875,JINDRILL-EQ,JINDRILL,,-1.000000,1,,NSE,5.000000
75,6051,CYBERTECH-EQ,CYBERTECH,,-1.000000,1,,NSE,5.000000
76,13592,HOVS-EQ,HOVS,,-1.000000,1,,NSE,5.000000
77,11915,YESBANK-EQ,YESBANK,,-1.000000,1,,NSE,5.000000
78,14260,PGIL-EQ,PGIL,,-1.000000,1,,NSE,5.000000
79,7218,SBIETFQLTY-EQ,SBIETFQLTY,,-1.000000,1,,NSE,1.000000
80,13941,PRAENG-EQ,PRAENG,,-1.000000,1,,NSE,5.000000
81,11872,GRANULES-EQ,GRANULES,,-1.000000,1,,NSE,5.000000
82,7902,LFIC-EQ,LFIC,,-1.000000,1,,NSE,5.000000
83,19196,TI-EQ,TI,,-1.000000,1,,NSE,5.000000
84,10618,SADBHIN-EQ,SADBHIN,,-1.000000,1,,NSE,5.000000
85,5366,WINDLAS-EQ,WINDLAS,,-1.000000,1,,NSE,5.000000
86,25756,VIKASECO-EQ,VIKASECO,,-1.000000,1,,NSE,5.000000
87,2979,ORTINLAB-EQ,ORTINLAB,,-1.000000,1,,NSE,5.000000
88,13251,SAKUMA-EQ,SAKUMA,,-1.000000,1,,NSE,5.000000
89,27067,VSSL-EQ,VSSL,,-1.000000,1,,NSE,5.000000
90,29850,GSCLCEMENT-EQ,GSCLCEMENT,,-1.000000,1,,NSE,5.000000
91,11233,SUVEN-EQ,SUVEN,,-1.000000,1,,NSE,5.000000
92,11662,BCP-EQ,BCP,,-1.000000,1,,NSE,5.000000
93,19525,IITL-EQ,IITL,,-1.000000,1,,NSE,5.000000
94,8167,MANYAVAR-EQ,MANYAVAR,,-1.000000,1,,NSE,5.000000
95,1624,IOC-EQ,IOC,,-1.000000,1,,NSE,5.000000
96,1901,CUMMINSIND-EQ,CUMMINSIND,,-1.000000,1,,NSE,5.000000
97,967,SUBEXLTD-EQ,SUBEXLTD,,-1.000000,1,,NSE,5.000000
98,31507,JPOLYINVST-EQ,JPOLYINVST,,-1.000000,1,,NSE,5.000000
99,17963,NESTLEIND-EQ,NESTLEIND,,-1.000000,1,,NSE,5.000000
100,3672,SOLARA-EQ,SOLARA,,-1.000000,1,,NSE,5.000000
101,419,BEPL-EQ,BEPL,,-1.000000,1,,NSE,5.000000
102,13275,INDOTECH-EQ,INDOTECH,,-1.000000,1,,NSE,5.000000
103,1756,JINDALPOLY-EQ,JINDALPOLY,,-1.000000,1,,NSE,5.000000
104,5292,PRITIKAUTO-EQ,PRITIKAUTO,,-1.000000,1,,NSE,5.000000
105,19265,BLISSGVS-EQ,BLISSGVS,,-1.000000,1,,NSE,5.000000
106,2514,OSWALAGRO-EQ,OSWALAGRO,,-1.000000,1,,NSE,5.000000
107,495,BLUEDART-EQ,BLUEDART,,-1.000000,1,,NSE,5.000000
108,13920,PLASTIBLEN-EQ,PLASTIBLEN,,-1.000000,1,,NSE,5.000000
109,17758,SARDAEN-EQ,SARDAEN,,-1.000000,1,,NSE,5.000000
110,3857,VARROC-EQ,VARROC,,-1.000000,1,,NSE,5.000000
111,10579,MARKSANS-EQ,MARKSANS,,-1.000000,1,,NSE,5.000000
112,11483,LT-EQ,LT,,-1.000000,1,,NSE,5.000000
113,21091,STARCEMENT-EQ,STARCEMENT,,-1.000000,1,,NSE,5.000000
114,4184,SANGAMIND-EQ,SANGAMIND,,-1.000000,1,,NSE,5.000000
115,1927,LIQUIDETF-EQ,LIQUIDETF,,-1.000000,1,,NSE,1.000000
116,11580,WESTLIFE-EQ,WESTLIFE,,-1.000000,1,,NSE,5.000000
117,17279,BLS-EQ,BLS,,-1.000000,1,,NSE,5.000000
118,1247,GSFC-EQ,GSFC,,-1.000000,1,,NSE,5.000000
119,2610,PEARLPOLY-EQ,PEARLPOLY,,-1.000000,1,,NSE,5.000000
120,31415,NBCC-EQ,NBCC,,-1.000000,1,,NSE,5.000000
121,739,COROMANDEL-EQ,COROMANDEL,,-1.000000,1,,NSE,5.000000
122,1076,ZENSARTECH-EQ,ZENSARTECH,,-1.000000,1,,NSE,5.000000
123,4822,DODLA-EQ,DODLA,,-1.000000,1,,NSE,5.000000
124,17130,PARAGMILK-EQ,PARAGMILK,,-1.000000,1,,NSE,5.000000
125,4244,HDFCAMC-EQ,HDFCAMC,,-1.000000,1,,NSE,5.000000
126,9168,UTISXN50-EQ,UTISXN50,,-1.000000,1,,NSE,1.000000
127,13409,GPIL-EQ,GPIL,,-1.000000,1,,NSE,5.000000
128,2306,BESTAGRO-EQ,BESTAGRO,,-1.000000,1,,NSE,5.000000
129,18783,IDFNIFTYET-EQ,IDFNIFTYET,,-1.000000,1,,NSE,1.000000
130,20134,RAMKY-EQ,RAMKY,,-1.000000,1,,NSE,5.000000
131,2783,JUBLINGREA-EQ,JUBLINGREA,,-1.000000,1,,NSE,5.000000
132,11935,SPLIL-EQ,SPLIL,,-1.000000,1,,NSE,5.000000
133,3481,THOMASCOOK-EQ,THOMASCOOK,,-1.000000,1,,NSE,5.000000
134,11591,HDFCNIFETF-EQ,HDFCNIFETF,,-1.000000,1,,NSE,1.000000
135,15161,HITECHCORP-EQ,HITECHCORP,,-1.000000,1,,NSE,5.000000
136,3321,SPMLINFRA-EQ,SPMLINFRA,,-1.000000,1,,NSE,5.000000
137,18118,THANGAMAYL-EQ,THANGAMAYL,,-1.000000,1,,NSE,5.000000
138,17270,ASPINWALL-EQ,ASPINWALL,,-1.000000,1,,NSE,5.000000
139,13035,SAFARI-EQ,SAFARI,,-1.000000,1,,NSE,5.000000
140,11255,HDFCQUAL-EQ,HDFCQUAL,,-1.000000,1,,NSE,1.000000
141,10761,DSPSILVETF-EQ,DSPSILVETF,,-1.000000,1,,NSE,1.000000
142,7227,MAPMYINDIA-EQ,MAPMYINDIA,,-1.000000,1,,NSE,5.000000
143,13116,QUICKHEAL-EQ,QUICKHEAL,,-1.000000,1,,NSE,5.000000
144,17598,ASALCBR-EQ,ASALCBR,,-1.000000,1,,NSE,5.000000
145,17094,CROMPTON-EQ,CROMPTON,,-1.000000,1,,NSE,5.000000
146,422,BHARATFORG-EQ,BHARATFORG,,-1.000000,1,,NSE,5.000000
147,10619,HDFCNEXT50-EQ,HDFCNEXT50,,-1.000000,1,,NSE,1.000000
148,13522,NECCLTD-EQ,NECCLTD,,-1.000000,1,,NSE,5.000000
149,10939,JUNIORBEES-EQ,JUNIORBEES,,-1.000000,1,,NSE,1.000000
